date,households,living_quarters,year
1970-01-01,1890276,1671108,1970
1980-01-01,2516295,2632561,1980
1991-01-01,3566859,4092769,1991
2000-01-01,4801835,5569261,2000
2010-01-01,6621630,7557500,2010
2011-01-01,6779400,7729800,2011
2012-01-01,6934900,7863900,2012
2013-01-01,7090100,7998800,2013
2014-01-01,7244100,8134300,2014
2015-01-01,7396800,8270299,2015
2016-01-01,7550800,8406600,2016
2017-01-01,7705500,8543000,2017
2018-01-01,7859900,8679500,2018
2019-01-01,8012800,8815700,2019
2020-01-01,8234644,9614139,2020
2021-01-01,8447200,9866800,2021
2022-01-01,8662700,10123200,2022
2023-01-01,8881900,10383800,2023
2024-01-01,9104600,10648700,2024
